name,url,city,state,degree_levels,tuition,school_type
North Idaho College,http://www.nic.edu/,Coeur d'Alene,ID,"Associates Degree, Certificate","$4,166","Public, 2-year"
Northern Maine Community College,http://www.nmcc.edu,Presque Isle,ME,"Associates Degree, Certificate","$3,368","Public, 2-year"
Northern New Mexico College,http://nnmc.edu,Espanola,NM,"Associates Degree, Bachelors Degree, Certificate, Post-Bachelors Certificate","$3,961","Public, 4-year or above"
Northern State University,http://www.northern.edu,Aberdeen,SD,"Associates Degree, Bachelors Degree, Certificate, Masters Degree, Post-Bachelors Certificate","$7,563","Public, 4-year or above"
Northwest Career College,http://northwestcareercollege.edu,Las Vegas,NV,"Associates Degree, Certificate",N/A,"Private for-profit, 2-year"
Northwest College,http://www.nwc.edu,Powell,WY,"Associates Degree, Certificate","$2,749","Public, 2-year"
Northwest Nazarene University,http://www.nnu.edu,Nampa,ID,"Bachelors Degree, Doctoral Degree, Masters Degree, Post-Masters Certificate","$27,340","Private not-for-profit, 4-year or above"
Norwich University,http://www.norwich.edu,Northfield,VT,"Bachelors Degree, Masters Degree","$34,704","Private not-for-profit, 4-year or above"
Nueta Hidatsa Sahnish College,https://nhsc.edu/,New Town,ND,"Associates Degree, Bachelors Degree, Certificate","$4,210","Public, 4-year or above"
Oglala Lakota College,http://www.olc.edu,Kyle,SD,"Associates Degree, Bachelors Degree, Certificate, Masters Degree","$2,588","Public, 4-year or above"
Ohio Valley University,http://www.ovu.edu,Vienna,WV,"Associates Degree, Bachelors Degree, Masters Degree","$19,260","Private not-for-profit, 4-year or above"
Pierpont Community and Technical College,http://www.pierpont.edu/,Fairmont,WV,"Associates Degree, Certificate","$4,440","Public, 2-year"
Pima Medical Institute-Las Vegas,http://pmi.edu,Las Vegas,NV,"Associates Degree, Certificate",N/A,"Private for-profit, 2-year"
Plymouth State University,http://www.plymouth.edu,Plymouth,NH,"Bachelors Degree, Certificate, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$12,677","Public, 4-year or above"
Potomac State College of West Virginia University,http://www.potomacstatecollege.edu,Keyser,WV,"Associates Degree, Bachelors Degree","$3,480","Public, 4-year or above"
Presentation College,http://www.presentation.edu,Aberdeen,SD,"Associates Degree, Bachelors Degree, Certificate","$17,875","Private not-for-profit, 4-year or above"
Providence College,http://www.providence.edu,Providence,RI,"Associates Degree, Bachelors Degree, Certificate, Masters Degree","$44,323","Private not-for-profit, 4-year or above"
Rasmussen College-North Dakota,http://rasmussen.edu,Fargo,ND,"Associates Degree, Bachelors Degree, Certificate","$10,764","Private for-profit, 4-year or above"
Rhode Island College,http://www.ric.edu,Providence,RI,"Bachelors Degree, Certificate, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$7,602","Public, 4-year or above"
River Valley Community College,http://www.rivervalley.edu,Claremont,NH,"Associates Degree, Certificate","$6,855","Public, 2-year"
Rivier University,http://www.rivier.edu,Nashua,NH,"Associates Degree, Bachelors Degree, Certificate, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$28,900","Private not-for-profit, 4-year or above"
Rocky Mountain University of Health Professions,http://www.rmuohp.edu,Provo,UT,"Doctoral Degree, Masters Degree",N/A,"Private for-profit, 4-year or above"
Roger Williams University,http://www.rwu.edu,Bristol,RI,"Associates Degree, Bachelors Degree, Certificate, Masters Degree, Post-Bachelors Certificate","$31,750","Private not-for-profit, 4-year or above"
Roseman University of Health Sciences,http://www.roseman.edu,Henderson,NV,"Bachelors Degree, Doctoral Degree, Masters Degree, Post-Masters Certificate",N/A,"Private not-for-profit, 4-year or above"
SIT Graduate Institute,http://www.sit.edu,Brattleboro,VT,"Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate",N/A,"Private not-for-profit, 4-year or above"
Saint Joseph's College of Maine,http://www.sjcme.edu,Standish,ME,"Associates Degree, Bachelors Degree, Certificate, Masters Degree, Post-Bachelors Certificate","$31,920","Private not-for-profit, 4-year or above"
Saint Michael's College,http://www.smcvt.edu,Colchester,VT,"Bachelors Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$39,375","Private not-for-profit, 4-year or above"
Salish Kootenai College,http://www.skc.edu,Pablo,MT,"Associates Degree, Bachelors Degree, Certificate","$6,229","Private not-for-profit, 4-year or above"
Salt Lake Community College,http://www.slcc.edu,Salt Lake City,UT,"Associates Degree, Certificate","$3,469","Public, 2-year"
Salve Regina University,http://www.salve.edu,Newport,RI,"Associates Degree, Bachelors Degree, Certificate, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$35,690","Private not-for-profit, 4-year or above"
Sanford College of Nursing,,Bismarck,ND,Bachelors Degree,N/A,"Private not-for-profit, 4-year or above"
Sheridan College,http://www.sheridan.edu,Sheridan,WY,"Associates Degree, Certificate","$2,892","Public, 2-year"
Sioux Falls Seminary,http://www.sfseminary.edu,Sioux Falls,SD,"Doctoral Degree, Masters Degree, Post-Bachelors Certificate",N/A,"Private not-for-profit, 4-year or above"
Sitting Bull College,http://www.sittingbull.edu,Fort Yates,ND,"Associates Degree, Bachelors Degree, Certificate, Masters Degree","$3,910","Public, 4-year or above"
Snow College,http://www.snow.edu,Ephraim,UT,"Associates Degree, Bachelors Degree, Certificate","$3,388","Public, 4-year or above"
South Dakota School of Mines and Technology,http://www.sdsmt.edu,Rapid City,SD,"Associates Degree, Bachelors Degree, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$10,040","Public, 4-year or above"
South Dakota State University,http://www.sdstate.edu/,Brookings,SD,"Associates Degree, Bachelors Degree, Certificate, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$7,713","Public, 4-year or above"
Southeast Technical Institute,http://www.southeasttech.edu,Sioux Falls,SD,"Associates Degree, Certificate","$4,728","Public, 2-year"
Southern Maine Community College,http://www.smccME.edu,South Portland,ME,"Associates Degree, Certificate","$3,755","Public, 2-year"
Southern New Hampshire University,http://www.snhu.edu,Manchester,NH,"Associates Degree, Bachelors Degree, Certificate, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$9,930","Private not-for-profit, 4-year or above"
Southern Utah University,http://www.suu.edu/,Cedar City,UT,"Associates Degree, Bachelors Degree, Certificate, Masters Degree","$6,138","Public, 4-year or above"
Southern Vermont College,http://www.svc.edu,Bennington,VT,"Associates Degree, Bachelors Degree, Post-Bachelors Certificate","$22,645","Private not-for-profit, 4-year or above"
Stevens-Henager College,http://www.stevenshenager.edu,Murray,UT,"Associates Degree, Bachelors Degree, Masters Degree","$16,968","Private not-for-profit, 4-year or above"
Strayer University-Delaware,http://www.strayer.edu/delaware/christiana,Newark,DE,"Associates Degree, Bachelors Degree, Certificate, Masters Degree, Post-Bachelors Certificate","$12,975","Private for-profit, 4-year or above"
The Art Institute of Las Vegas,http://www.ailv.artinstitutes.edu,Henderson,NV,"Associates Degree, Bachelors Degree, Certificate","$17,416","Private for-profit, 4-year or above"
The University of Montana,http://www.umt.edu,Missoula,MT,"Associates Degree, Bachelors Degree, Certificate, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$6,099","Public, 4-year or above"
The University of Montana-Western,http://www.umwestern.edu,Dillon,MT,"Associates Degree, Bachelors Degree, Certificate","$4,761","Public, 4-year or above"
Touro University Nevada,http://www.tun.touro.edu/,Henderson,NV,"Bachelors Degree, Doctoral Degree, Masters Degree",N/A,"Private not-for-profit, 4-year or above"
