name,url,city,state,degree_levels,tuition,school_type
Baker College of Allen Park,http://www.baker.edu,Allen Park,MI,"Associates Degree, Bachelors Degree, Certificate, Post-Bachelors Certificate","$8,280","Private not-for-profit, 4-year or above"
Baker College of Auburn Hills,http://www.baker.edu,Auburn Hills,MI,"Associates Degree, Bachelors Degree, Certificate, Post-Bachelors Certificate","$8,280","Private not-for-profit, 4-year or above"
Baker College of Cadillac,http://www.baker.edu,Cadillac,MI,"Associates Degree, Bachelors Degree, Certificate, Post-Bachelors Certificate","$8,280","Private not-for-profit, 4-year or above"
Baker College of Clinton Township,http://www.baker.edu,Clinton Township,MI,"Associates Degree, Bachelors Degree, Certificate, Post-Bachelors Certificate","$8,280","Private not-for-profit, 4-year or above"
Baker College of Flint,http://www.baker.edu,Flint,MI,"Associates Degree, Bachelors Degree, Certificate, Post-Bachelors Certificate","$8,280","Private not-for-profit, 4-year or above"
Baker College of Jackson,http://www.baker.edu,Jackson,MI,"Associates Degree, Bachelors Degree, Certificate, Post-Bachelors Certificate","$8,280","Private not-for-profit, 4-year or above"
Baker College of Muskegon,http://www.Baker.edu,Muskegon,MI,"Associates Degree, Bachelors Degree, Certificate, Post-Bachelors Certificate","$8,280","Private not-for-profit, 4-year or above"
Baker College of Owosso,http://www.baker.edu,Owosso,MI,"Associates Degree, Bachelors Degree, Certificate, Post-Bachelors Certificate","$8,280","Private not-for-profit, 4-year or above"
Baker College of Port Huron,http://www.baker.edu/,Port Huron,MI,"Associates Degree, Bachelors Degree, Certificate","$8,280","Private not-for-profit, 4-year or above"
Baker University,http://www.bakeru.edu,Baldwin City,KS,"Associates Degree, Bachelors Degree, Doctoral Degree, Masters Degree","$29,750","Private not-for-profit, 4-year or above"
Bakersfield College,http://www.bakersfieldcollege.edu/,Bakersfield,CA,"Associates Degree, Certificate","$1,324","Public, 2-year"
Bakke Graduate University,http://www.bgu.edu,Seattle,WA,"Doctoral Degree, Masters Degree",N/A,"Private not-for-profit, 4-year or above"
Baldwin Wallace University,http://www.bw.edu,Berea,OH,"Bachelors Degree, Certificate, Masters Degree","$28,814","Private not-for-profit, 4-year or above"
Ball State University,http://www.bsu.edu,Muncie,IN,"Associates Degree, Bachelors Degree, Certificate, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$9,344","Public, 4-year or above"
Baltimore City Community College,http://www.bccc.edu,Baltimore,MD,"Associates Degree, Certificate","$2,462","Public, 2-year"
Bank Street College of Education,http://www.bankstreet.edu,New York,NY,Masters Degree,N/A,"Private not-for-profit, 4-year or above"
Baptist Bible College,http://www.gobbc.edu,Springfield,MO,"Associates Degree, Bachelors Degree, Certificate, Masters Degree","$9,050","Private not-for-profit, 4-year or above"
Baptist Health Schools-Little Rock,https://www.bhclr.edu/,Little Rock,AR,Certificate,"$8,402","Private not-for-profit, 2-year"
Baptist Health System School of Health Professions,http://www.bshp.edu,San Antonio,TX,"Associates Degree, Bachelors Degree, Certificate",N/A,"Private for-profit, 4-year or above"
Baptist Memorial College of Health Sciences,http://www.bchs.edu,Memphis,TN,"Associates Degree, Bachelors Degree","$10,412","Private not-for-profit, 4-year or above"
Baptist Missionary Association Theological Seminary,http://www.bmats.edu,Jacksonville,TX,"Associates Degree, Bachelors Degree, Masters Degree","$5,100","Private not-for-profit, 4-year or above"
Baptist Theological Seminary at Richmond,http://www.btsr.edu,Henrico,VA,"Doctoral Degree, Masters Degree, Post-Bachelors Certificate",N/A,"Private not-for-profit, 4-year or above"
Barclay College,http://www.barclaycollege.edu,Haviland,KS,"Associates Degree, Bachelors Degree, Certificate, Masters Degree","$14,290","Private not-for-profit, 4-year or above"
Bard College,http://www.bard.edu,Annandale-On-Hudson,NY,"Associates Degree, Bachelors Degree, Doctoral Degree, Masters Degree","$48,240","Private not-for-profit, 4-year or above"
Barnes-Jewish College Goldfarb School of Nursing,http://www.barnesjewishcollege.edu,Saint Louis,MO,"Bachelors Degree, Doctoral Degree, Masters Degree, Post-Masters Certificate",N/A,"Private not-for-profit, 4-year or above"
Barry University,http://www.barry.edu,Miami,FL,"Bachelors Degree, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$28,160","Private not-for-profit, 4-year or above"
Barstow Community College,http://www.barstow.edu,Barstow,CA,"Associates Degree, Certificate","$1,104","Public, 2-year"
Barton College,http://www.barton.edu/,Wilson,NC,"Bachelors Degree, Masters Degree","$26,664","Private not-for-profit, 4-year or above"
Barton County Community College,http://www.bartonccc.edu,Great Bend,KS,"Associates Degree, Certificate","$3,008","Public, 2-year"
Bates Technical College,http://www.bates.ctc.edu/,Tacoma,WA,"Associates Degree, Certificate","$5,208","Public, 2-year"
Baton Rouge Community College,http://www.mybrcc.edu,Baton Rouge,LA,"Associates Degree, Certificate","$3,693","Public, 2-year"
Bay Mills Community College,http://www.bmcc.edu,Brimley,MI,"Associates Degree, Certificate","$3,040","Public, 2-year"
Bay Path University,http://www.baypath.edu,Longmeadow,MA,"Associates Degree, Bachelors Degree, Certificate, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$30,859","Private not-for-profit, 4-year or above"
Bay State College,http://www.baystate.edu,Boston,MA,"Associates Degree, Bachelors Degree","$20,324","Private for-profit, 4-year or above"
Bay State School of Technology,http://www.baystatetech.org,Canton,MA,Certificate,N/A,"Private for-profit, less-than 2-year"
Bay de Noc Community College,http://www.baycollege.edu/default.aspx,Escanaba,MI,"Associates Degree, Certificate","$7,281","Public, 2-year"
Baylor College of Medicine,http://www.bcm.edu,Houston,TX,"Doctoral Degree, Masters Degree",N/A,"Private not-for-profit, 4-year or above"
Baylor University,http://www.baylor.edu,Waco,TX,"Bachelors Degree, Doctoral Degree, Masters Degree, Post-Masters Certificate","$38,120","Private not-for-profit, 4-year or above"
Beaufort County Community College,http://www.beaufortccc.edu,Washington,NC,"Associates Degree, Certificate","$2,368","Public, 2-year"
Becker College,http://www.becker.edu,Worcester,MA,"Associates Degree, Bachelors Degree","$32,870","Private not-for-profit, 4-year or above"
Beckfield College-Florence,http://www.beckfield.edu,Florence,KY,"Associates Degree, Bachelors Degree, Certificate","$12,906","Private for-profit, 4-year or above"
Beckfield College-Tri-County,http://www.beckfield.edu,Springdale,OH,"Associates Degree, Certificate","$12,906","Private for-profit, 2-year"
Belhaven University,http://www.belhaven.edu,Jackson,MS,"Associates Degree, Bachelors Degree, Certificate, Masters Degree","$20,780","Private not-for-profit, 4-year or above"
Bellevue College,http://bellevuecollege.edu/,Bellevue,WA,"Associates Degree, Bachelors Degree, Certificate","$3,754","Public, 4-year or above"
Bellevue University,http://www.bellevue.edu,Bellevue,NE,"Bachelors Degree, Doctoral Degree, Masters Degree","$6,450","Private not-for-profit, 4-year or above"
Bellin College,http://www.bellincollege.edu,Green Bay,WI,"Bachelors Degree, Masters Degree","$20,500","Private not-for-profit, 4-year or above"
Bellingham Technical College,http://www.btc.ctc.edu,Bellingham,WA,"Associates Degree, Certificate","$3,518","Public, 2-year"
Belmont College,http://www.belmontcollege.edu,Saint Clairsville,OH,"Associates Degree, Certificate","$3,596","Public, 2-year"
Belmont University,http://www.belmont.edu,Nashville,TN,"Bachelors Degree, Doctoral Degree, Masters Degree","$28,660","Private not-for-profit, 4-year or above"
Bemidji State University,http://www.bemidjistate.edu,Bemidji,MN,"Associates Degree, Bachelors Degree, Certificate, Masters Degree, Post-Bachelors Certificate","$8,134","Public, 4-year or above"
Benedictine College,http://www.benedictine.edu,Atchison,KS,"Bachelors Degree, Masters Degree","$25,100","Private not-for-profit, 4-year or above"
Benedictine University,http://www.ben.edu,Lisle,IL,"Associates Degree, Bachelors Degree, Certificate, Doctoral Degree, Masters Degree, Post-Bachelors Certificate","$26,558","Private not-for-profit, 4-year or above"
Bennington College,http://www.bennington.edu,Bennington,VT,"Bachelors Degree, Masters Degree, Post-Bachelors Certificate","$46,667","Private not-for-profit, 4-year or above"
Bentley University,http://www.bentley.edu,Waltham,MA,"Associates Degree, Bachelors Degree, Certificate, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$42,511","Private not-for-profit, 4-year or above"
Bergen Community College,http://www.bergen.edu,Paramus,NJ,"Associates Degree, Certificate","$7,614","Public, 2-year"
Berkeley College-New York,http://www.BerkeleyCollege.edu,New York,NY,"Associates Degree, Bachelors Degree","$23,700","Private for-profit, 4-year or above"
Berkeley College-Woodland Park,http://www.BerkeleyCollege.edu,Woodland Park,NJ,"Associates Degree, Bachelors Degree, Certificate","$23,700","Private for-profit, 4-year or above"
Berklee College of Music,http://www.berklee.edu,Boston,MA,"Bachelors Degree, Certificate, Masters Degree","$38,910","Private not-for-profit, 4-year or above"
Berks Technical Institute,http://www.berks.edu,Wyomissing,PA,"Associates Degree, Certificate","$10,120","Private for-profit, 2-year"
Berkshire Community College,http://www.berkshirecc.edu,Pittsfield,MA,"Associates Degree, Certificate","$4,658","Public, 2-year"
Bethany College,http://www.bethanywv.edu,Bethany,WV,"Bachelors Degree, Masters Degree","$25,736","Private not-for-profit, 4-year or above"
Bethany College,http://www.bethanylb.edu,Lindsborg,KS,"Bachelors Degree, Certificate","$24,390","Private not-for-profit, 4-year or above"
Bethany Theological Seminary,http://www.bethanyseminary.edu,Richmond,IN,"Masters Degree, Post-Bachelors Certificate",N/A,"Private not-for-profit, 4-year or above"
Bethel College,http://bcva.edu,Hampton,VA,"Associates Degree, Bachelors Degree, Certificate","$8,160","Private not-for-profit, 4-year or above"
Bethel College-Indiana,http://www.bethelcollege.edu,Mishawaka,IN,"Associates Degree, Bachelors Degree, Masters Degree","$25,830","Private not-for-profit, 4-year or above"
Bethel Seminary of the East,http://www.bethel.edu,Landover,MD,"Masters Degree, Post-Bachelors Certificate",N/A,"Private not-for-profit, 4-year or above"
Bethel Seminary-St Paul,http://www.bethel.edu,Saint Paul,MN,"Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate",N/A,"Private not-for-profit, 4-year or above"
Bethel University,http://www.bethelu.edu/,McKenzie,TN,"Associates Degree, Bachelors Degree, Masters Degree","$15,714","Private not-for-profit, 4-year or above"
Bethel University,http://www.bethel.edu,Saint Paul,MN,"Associates Degree, Bachelors Degree, Certificate, Doctoral Degree, Masters Degree, Post-Bachelors Certificate","$32,990","Private not-for-profit, 4-year or above"
Bethune-Cookman University,http://www.cookman.edu,Daytona Beach,FL,"Bachelors Degree, Masters Degree","$14,410","Private not-for-profit, 4-year or above"
Beulah Heights University,http://www.beulah.edu,Atlanta,GA,"Associates Degree, Bachelors Degree, Doctoral Degree, Masters Degree, Post-Masters Certificate","$9,390","Private not-for-profit, 4-year or above"
Bevill State Community College,http://www.bscc.edu,Jasper,AL,"Associates Degree, Certificate","$4,290","Public, 2-year"
Bexley Hall Seabury Western Theological Seminary Federation,http://www.bexleyseabury.edu,Chicago,IL,"Doctoral Degree, Post-Bachelors Certificate, Post-Masters Certificate",N/A,"Private not-for-profit, 4-year or above"
Biblical Theological Seminary,http://www.biblical.edu,Hatfield,PA,"Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate",N/A,"Private not-for-profit, 4-year or above"
Big Bend Community College,http://www.bigbend.edu/,Moses Lake,WA,"Associates Degree, Certificate","$4,150","Public, 2-year"
Big Sandy Community and Technical College,http://www.bigsandy.kctcs.edu,Prestonsburg,KY,"Associates Degree, Certificate","$3,624","Public, 2-year"
Binghamton University,http://www.binghamton.edu,Vestal,NY,"Bachelors Degree, Doctoral Degree, Masters Degree, Post-Masters Certificate","$8,620","Public, 4-year or above"
Bishop State Community College,http://www.bishop.edu,Mobile,AL,"Associates Degree, Certificate","$4,260","Public, 2-year"
Bismarck State College,http://www.bismarckstate.edu,Bismarck,ND,"Associates Degree, Bachelors Degree, Certificate","$3,520","Public, 4-year or above"
Black Hawk College,http://www.bhc.edu,Moline,IL,"Associates Degree, Certificate","$6,900","Public, 2-year"
Black Hills State University,http://www.bhsu.edu,Spearfish,SD,"Associates Degree, Bachelors Degree, Masters Degree, Post-Bachelors Certificate","$7,617","Public, 4-year or above"
Black River Technical College,http://www.blackrivertech.edu,Pocahontas,AR,"Associates Degree, Certificate","$2,688","Public, 2-year"
Blackburn College,http://www.blackburn.edu,Carlinville,IL,Bachelors Degree,"$19,560","Private not-for-profit, 4-year or above"
Blackfeet Community College,http://bfcc.edu,Browning,MT,"Associates Degree, Certificate","$2,670","Private not-for-profit, 2-year"
Blackhawk Technical College,http://www.blackhawk.edu,Janesville,WI,"Associates Degree, Certificate","$3,965","Public, 2-year"
Bladen Community College,http://www.bladencc.edu,Dublin,NC,"Associates Degree, Certificate","$2,385","Public, 2-year"
Blessing Rieman College of Nursing,http://www.brcn.edu,Quincy,IL,"Bachelors Degree, Masters Degree",N/A,"Private not-for-profit, 4-year or above"
Blinn College,http://www.blinn.edu,Brenham,TX,"Associates Degree, Certificate","$3,264","Public, 2-year"
Bloomfield College,http://www.bloomfield.edu/,Bloomfield,NJ,"Bachelors Degree, Certificate, Masters Degree","$26,750","Private not-for-profit, 4-year or above"
Bloomsburg University of Pennsylvania,http://www.bloomu.edu,Bloomsburg,PA,"Bachelors Degree, Certificate, Doctoral Degree, Masters Degree, Post-Bachelors Certificate","$8,914","Public, 4-year or above"
Blue Mountain College,http://www.bmc.edu,Blue Mountain,MS,"Bachelors Degree, Masters Degree","$10,534","Private not-for-profit, 4-year or above"
Blue Mountain Community College,http://www.bluecc.edu,Pendleton,OR,"Associates Degree, Certificate","$4,307","Public, 2-year"
Blue Ridge Community College,http://www.brcc.edu,Weyers Cave,VA,"Associates Degree, Certificate","$4,794","Public, 2-year"
Blue Ridge Community College,http://www.blueridge.edu,Flat Rock,NC,"Associates Degree, Certificate","$2,389","Public, 2-year"
Blue Ridge Community and Technical College,http://www.blueridgectc.edu,Martinsburg,WV,"Associates Degree, Certificate","$3,432","Public, 2-year"
Bluefield College,http://www.bluefield.edu,Bluefield,VA,"Associates Degree, Bachelors Degree, Masters Degree","$22,840","Private not-for-profit, 4-year or above"
Bluefield State College,http://www.bluefieldstate.edu,Bluefield,WV,"Associates Degree, Bachelors Degree","$5,832","Public, 4-year or above"
Bluegrass Community and Technical College,http://www.bluegrass.kctcs.edu/,Lexington,KY,"Associates Degree, Certificate","$3,704","Public, 2-year"
Bluffton University,http://www.bluffton.edu,Bluffton,OH,"Bachelors Degree, Masters Degree","$29,316","Private not-for-profit, 4-year or above"
Bob Jones University,http://www.bju.edu,Greenville,SC,"Associates Degree, Bachelors Degree, Certificate, Doctoral Degree, Masters Degree, Post-Masters Certificate","$14,220","Private for-profit, 4-year or above"
Boise Bible College,http://www.boisebible.edu,Boise,ID,"Associates Degree, Bachelors Degree, Certificate","$11,665","Private not-for-profit, 4-year or above"
Boise State University,http://www.boisestate.edu,Boise,ID,"Associates Degree, Bachelors Degree, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$6,641","Public, 4-year or above"
Bon Secours Memorial College of Nursing,http://www.bsmcon.edu,Richmond,VA,Bachelors Degree,"$4,871","Private not-for-profit, 4-year or above"
Bossier Parish Community College,http://www.bpcc.edu,Bossier City,LA,"Associates Degree, Certificate","$3,616","Public, 2-year"
Boston Architectural College,http://www.the-bac.edu,Boston,MA,"Bachelors Degree, Certificate, Masters Degree","$19,706","Private not-for-profit, 4-year or above"
Boston College,http://www.bc.edu,Chestnut Hill,MA,"Bachelors Degree, Doctoral Degree, Masters Degree, Post-Masters Certificate","$47,436","Private not-for-profit, 4-year or above"
Boston University,http://www.bu.edu,Boston,MA,"Bachelors Degree, Doctoral Degree, Masters Degree","$46,664","Private not-for-profit, 4-year or above"
Bowie State University,http://www.bowiestate.edu,Bowie,MD,"Bachelors Degree, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$7,299","Public, 4-year or above"
Bowling Green State University-Firelands,http://www.firelands.bgsu.edu,Huron,OH,"Associates Degree, Certificate","$4,946","Public, 2-year"
Bowling Green State University-Main Campus,http://www.bgsu.edu,Bowling Green,OH,"Bachelors Degree, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$10,726","Public, 4-year or above"
Bradley University,http://www.bradley.edu,Peoria,IL,"Bachelors Degree, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$30,844","Private not-for-profit, 4-year or above"
Bramson ORT College,http://bramsonort.edu,Forest Hills,NY,"Associates Degree, Certificate","$11,330","Private not-for-profit, 2-year"
Branford Hall Career Institute-Branford Campus,,Branford,CT,Certificate,N/A,"Private for-profit, less-than 2-year"
Branford Hall Career Institute-Southington Campus,http://www.branfordhall.edu,Southington,CT,Certificate,N/A,"Private for-profit, less-than 2-year"
Branford Hall Career Institute-Windsor Campus,http://www.branfordhall.edu,Windsor,CT,Certificate,N/A,"Private for-profit, less-than 2-year"
Brazosport College,http://www.brazosport.edu,Lake Jackson,TX,"Associates Degree, Bachelors Degree, Certificate","$3,315","Public, 4-year or above"
Brenau University,http://www.brenau.edu,Gainesville,GA,"Associates Degree, Bachelors Degree, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$24,780","Private not-for-profit, 4-year or above"
Brensten Education,http://www.bse.edu,Waukesha,WI,"Associates Degree, Certificate",N/A,"Private for-profit, 2-year"
Brescia University,http://www.brescia.edu,Owensboro,KY,"Associates Degree, Bachelors Degree, Masters Degree, Post-Bachelors Certificate","$19,990","Private not-for-profit, 4-year or above"
Brewton-Parker College,http://www.bpc.edu,Mount Vernon,GA,"Associates Degree, Bachelors Degree","$14,200","Private not-for-profit, 4-year or above"
Briar Cliff University,http://www.briarcliff.edu,Sioux City,IA,"Associates Degree, Bachelors Degree, Doctoral Degree, Masters Degree, Post-Masters Certificate","$27,202","Private not-for-profit, 4-year or above"
BridgeValley Community & Technical College,http://www.bridgevalley.edu/,South  Charleston,WV,"Associates Degree, Certificate","$4,188","Public, 2-year"
Bridgewater College,http://www.bridgewater.edu/about-us,Bridgewater,VA,Bachelors Degree,"$30,380","Private not-for-profit, 4-year or above"
Bridgewater State University,http://www.bridgew.edu,Bridgewater,MA,"Bachelors Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$8,353","Public, 4-year or above"
Brigham Young University-Hawaii,http://www.byuh.edu/,Laie,HI,"Associates Degree, Bachelors Degree","$4,940","Private not-for-profit, 4-year or above"
Brigham Young University-Idaho,http://www.byui.edu,Rexburg,ID,"Associates Degree, Bachelors Degree","$3,950","Private not-for-profit, 4-year or above"
Brigham Young University-Provo,http://www.byu.edu,Provo,UT,"Bachelors Degree, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$5,000","Private not-for-profit, 4-year or above"
Bristol Community College,http://www.bristolcc.edu,Fall River,MA,"Associates Degree, Certificate","$4,178","Public, 2-year"
Broadview Entertainment Arts University,http://beau.broadviewuniversity.edu/,Salt Lake City,UT,"Associates Degree, Bachelors Degree","$13,500","Private for-profit, 4-year or above"
Broadview University-Boise,http://www.broadviewuniversity.edu/,Meridian,ID,"Associates Degree, Bachelors Degree, Certificate","$13,500","Private for-profit, 4-year or above"
Broadview University-Layton,http://www.broadviewuniversity.edu/,Layton,UT,"Associates Degree, Bachelors Degree, Certificate","$13,500","Private for-profit, 4-year or above"
Broadview University-Orem,http://www.broadviewuniversity.edu/,Orem,UT,"Associates Degree, Bachelors Degree, Certificate","$13,500","Private for-profit, 4-year or above"
Broadview University-West Jordan,http://www.broadviewuniversity.edu/,West Jordan,UT,"Associates Degree, Bachelors Degree, Certificate, Masters Degree","$13,500","Private for-profit, 4-year or above"
Brookdale Community College,http://www.brookdalecc.edu,Lincroft,NJ,"Associates Degree, Certificate","$6,384","Public, 2-year"
Brookhaven College,http://www.brookhavencollege.edu/,Farmers Branch,TX,"Associates Degree, Certificate","$3,015","Public, 2-year"
Brookline College-Tucson,http://www.brooklinecollege.edu,Tucson,AZ,"Associates Degree, Bachelors Degree, Certificate",N/A,"Private for-profit, 4-year or above"
Broward College,http://www.broward.edu,Fort Lauderdale,FL,"Associates Degree, Bachelors Degree, Certificate","$2,542","Public, 4-year or above"
Brown College of Court Reporting,http://www.bccr.edu,Atlanta,GA,"Associates Degree, Certificate","$12,900","Private for-profit, 2-year"
Brunswick Community College,http://www.brunswickcc.edu,Bolivia,NC,"Associates Degree, Certificate","$2,404","Public, 2-year"
Bryan College of Health Sciences,http://www.bryanhealth.com/CollegeofHealthSciences,Lincoln,NE,"Associates Degree, Bachelors Degree, Doctoral Degree, Masters Degree","$13,592","Private not-for-profit, 4-year or above"
Bryan College-Dayton,http://www.bryan.edu,Dayton,TN,"Associates Degree, Bachelors Degree, Masters Degree","$22,200","Private not-for-profit, 4-year or above"
Bryan University,http://www.bryanu.edu,Columbia,MO,"Associates Degree, Certificate","$15,345","Private for-profit, 2-year"
Bryan University,http://www.bryanu.edu,Topeka,KS,"Associates Degree, Certificate","$15,336","Private for-profit, 2-year"
Bryan University,http://www.bryanu.edu,Springfield,MO,"Associates Degree, Bachelors Degree, Certificate, Masters Degree","$15,321","Private for-profit, 4-year or above"
Bryan University,http://www.bryanu.edu,Rogers,AR,"Associates Degree, Certificate","$15,309","Private for-profit, 2-year"
Bryant & Stratton College-Akron,http://www.bryantstratton.edu,Copley,OH,"Associates Degree, Bachelors Degree, Certificate","$17,712","Private for-profit, 4-year or above"
Bryant & Stratton College-Albany,http://www.bryantstratton.edu/,Albany,NY,"Associates Degree, Bachelors Degree","$16,424","Private for-profit, 4-year or above"
Bryant & Stratton College-Amherst,http://www.bryantstratton.edu,Getzville,NY,"Associates Degree, Bachelors Degree","$15,653","Private for-profit, 4-year or above"
Bryant & Stratton College-Bayshore,http://www.bryantstratton.edu,Glendale,WI,"Associates Degree, Bachelors Degree, Certificate","$16,151","Private for-profit, 4-year or above"
Bryant & Stratton College-Buffalo,http://www.bryantstratton.edu,Buffalo,NY,"Associates Degree, Bachelors Degree, Certificate","$16,059","Private for-profit, 4-year or above"
Bryant & Stratton College-Cleveland,http://www.bryantstratton.edu,Cleveland,OH,"Associates Degree, Bachelors Degree, Certificate","$16,025","Private for-profit, 4-year or above"
Bryant & Stratton College-Eastlake,http://www.bryantstratton.edu,Eastlake,OH,"Associates Degree, Bachelors Degree, Certificate","$15,977","Private for-profit, 4-year or above"
Bryant & Stratton College-Greece,http://www.bryantstratton.edu,Rochester,NY,"Associates Degree, Bachelors Degree, Certificate","$16,419","Private for-profit, 4-year or above"
Bryant & Stratton College-Hampton,http://www.bryantstratton.edu,Hampton,VA,"Associates Degree, Bachelors Degree","$16,488","Private for-profit, 4-year or above"
Bryant & Stratton College-Henrietta,http://www.bryantstratton.edu/,Rochester,NY,"Associates Degree, Certificate","$16,353","Private for-profit, 2-year"
Bryant & Stratton College-Milwaukee,http://www.bryantstratton.edu,Milwaukee,WI,"Associates Degree, Bachelors Degree, Certificate","$15,627","Private for-profit, 4-year or above"
Bryant & Stratton College-Online,http://www.bryantstratton.edu,Orchard Park,NY,"Associates Degree, Bachelors Degree, Certificate","$13,533","Private for-profit, 4-year or above"
Bryant & Stratton College-Parma,http://www.bryantstratton.edu/,Parma,OH,"Associates Degree, Bachelors Degree, Certificate","$15,457","Private for-profit, 4-year or above"
Bryant & Stratton College-Richmond,http://www.bryantstratton.edu,North Chesterfield,VA,"Associates Degree, Bachelors Degree","$16,052","Private for-profit, 4-year or above"
Bryant & Stratton College-Southtowns,http://www.bryantstratton.edu,Orchard Park,NY,"Associates Degree, Bachelors Degree, Certificate","$15,296","Private for-profit, 4-year or above"
Bryant & Stratton College-Syracuse,http://www.bryantstratton.edu,Syracuse,NY,"Associates Degree, Certificate","$16,329","Private for-profit, 2-year"
Bryant & Stratton College-Virginia Beach,http://www.bryantstratton.edu,Virginia Beach,VA,"Associates Degree, Bachelors Degree","$16,445","Private for-profit, 4-year or above"
Bryant & Stratton College-Wauwatosa,http://www.bryantstratton.edu,Wauwatosa,WI,"Associates Degree, Bachelors Degree, Certificate","$15,907","Private for-profit, 4-year or above"
Bryant University,http://www.bryant.edu,Smithfield,RI,"Bachelors Degree, Masters Degree, Post-Bachelors Certificate","$38,574","Private not-for-profit, 4-year or above"
Bucks County Community College,http://www.bucks.edu/,Newtown,PA,"Associates Degree, Certificate","$7,394","Public, 2-year"
Buena Vista University,http://www.bvu.edu,Storm Lake,IA,"Bachelors Degree, Masters Degree","$30,406","Private not-for-profit, 4-year or above"
Bunker Hill Community College,http://www.bhcc.mass.edu,Boston,MA,"Associates Degree, Certificate","$3,384","Public, 2-year"
Butler Community College,http://www.butlercc.edu/,El Dorado,KS,"Associates Degree, Certificate","$3,294","Public, 2-year"
Butler County Community College,http://www.bc3.edu,Butler,PA,"Associates Degree, Certificate","$6,690","Public, 2-year"
Butler University,http://www.butler.edu,Indianapolis,IN,"Associates Degree, Bachelors Degree, Doctoral Degree, Masters Degree","$35,652","Private not-for-profit, 4-year or above"
CCI Training Center-Arlington,http://www.cci-training.com,Arlington,TX,Certificate,N/A,"Private for-profit, less-than 2-year"
Cabarrus College of Health Sciences,http://www.cabarruscollege.edu/index.cfm,Concord,NC,"Associates Degree, Bachelors Degree, Certificate, Masters Degree","$11,636","Private not-for-profit, 4-year or above"
Cabrini College,http://www.cabrini.edu,Radnor,PA,"Bachelors Degree, Masters Degree","$29,842","Private not-for-profit, 4-year or above"
Caddo Kiowa Technology Center,http://www.caddokiowa.com,Fort Cobb,OK,Certificate,N/A,"Public, 2-year"
Cairn University-Langhorne,http://www.cairn.edu,Langhorne,PA,"Bachelors Degree, Masters Degree, Post-Bachelors Certificate","$23,245","Private not-for-profit, 4-year or above"
Caldwell Community College and Technical Institute,http://www.cccti.edu,Hudson,NC,"Associates Degree, Certificate","$2,380","Public, 2-year"
Caldwell University,http://www.caldwell.edu,Caldwell,NJ,"Bachelors Degree, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$30,050","Private not-for-profit, 4-year or above"
California University of Pennsylvania,http://www.calu.edu,California,PA,"Associates Degree, Bachelors Degree, Certificate, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$9,556","Public, 4-year or above"
Calumet College of Saint Joseph,http://www.ccsj.edu,Whiting,IN,"Associates Degree, Bachelors Degree, Certificate, Masters Degree, Post-Bachelors Certificate","$16,405","Private not-for-profit, 4-year or above"
Calvary Bible College and Theological Seminary,http://www.calvary.edu,Kansas City,MO,"Associates Degree, Bachelors Degree, Certificate, Masters Degree","$10,600","Private not-for-profit, 4-year or above"
Calvin College,http://www.calvin.edu,Grand Rapids,MI,"Bachelors Degree, Masters Degree","$29,635","Private not-for-profit, 4-year or above"
Calvin Theological Seminary,http://www.calvinseminary.edu,Grand Rapids,MI,"Doctoral Degree, Masters Degree, Post-Bachelors Certificate",N/A,"Private not-for-profit, 4-year or above"
Cambridge College,http://www.cambridgecollege.edu,Cambridge,MA,"Bachelors Degree, Certificate, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$13,608","Private not-for-profit, 4-year or above"
Cambridge Institute of Allied Health & Technology,http://www.cambridgehealth.edu/,Altamonte Springs,FL,Certificate,N/A,"Private for-profit, less-than 2-year"
Cambridge Institute of Health & Technology,http://www.cambridgehealth.edu/,Delray Beach,FL,"Associates Degree, Certificate",N/A,"Private for-profit, 2-year"
Camden County College,http://www.camdencc.edu,Blackwood,NJ,"Associates Degree, Certificate","$4,440","Public, 2-year"
Cameron University,http://www.cameron.edu,Lawton,OK,"Associates Degree, Bachelors Degree, Masters Degree, Post-Masters Certificate","$5,340","Public, 4-year or above"
