school_name,wm_source,wm_category,wm_rank,wm_social_mobility_rank,wm_research_rank,wm_service_rank,wm_grad_rate_8yr,wm_pell_graduates,wm_net_price
South University–Savannah,bang4buck,Southeast,129,,,,,,
William Paterson University (NJ)*,bang4buck,Northeast,129,,,,,,
Graceland University–Lamoni,bang4buck,Midwest,129,,,,,,
Eastern Washington University (WA)*,main,Master's Universities,129,109.0,2.213333,0.1218392,0.587518,-0.0995907,8908.789
Vanguard Univ. of So. California,bang4buck,West,129,,,,,,
University at Buffalo (NY)*,main,National Universities,129,103.0,429.032,0.1017123,0.7256327,-0.0656063,16574.03
Wabash College,main,Liberal Arts Colleges,129,112.0,0.155,0.0999901,0.7380172,-0.1502869,15341.1
Herzing University–Atlanta (GA)°,main,Bachelor's Colleges,129,83.0,0.0,0.0,0.3918471,0.0361905,23528.33
University of MO–Columbia (MO)*,bang4buck,Midwest,130,,,,,,
Duquesne University,main,National Universities,130,162.0,13.98333,0.0519707,0.8028218,-0.0497853,27042.37
Arkansas State Univ. (AR)*,bang4buck,South,130,,,,,,
Lewis-Clark State College (ID)*,bang4buck,West,130,,,,,,
St. Mary's College of MD (MD)*,bang4buck,Northeast,130,,,,,,
South Univ.–Virginia Beach (VA)°,bang4buck,Southeast,130,,,,,,
Sarah Lawrence College,main,Liberal Arts Colleges,130,140.0,0.1183333,0.0783037,0.756357,0.0346947,23322.59
Central Washington University (WA)*,main,Master's Universities,130,72.0,2.753333,0.0109681,0.6359938,-0.0956539,13065.41
North Central University,main,Bachelor's Colleges,130,141.0,0.0,0.2522703,0.5276842,-0.057876,21242.97
Western Carolina University (NC)*,main,National Universities,131,140.0,2.775333,0.1201468,0.6548233,-0.0774507,11426.86
Earlham College,main,Liberal Arts Colleges,131,151.0,0.2856667,0.0159775,0.6549821,-0.1033201,18475.04
University of Maine–Augusta (ME)*,main,Bachelor's Colleges,131,93.0,0.0,0.0239019,0.2945538,-0.0792055,9396.787
Coppin State University (MD)*,bang4buck,Northeast,131,,,,,,
Le Moyne College,main,Master's Universities,131,161.0,0.0556667,0.0698304,0.7350598,-0.0895222,20016.42
Webber International University,bang4buck,Southeast,131,,,,,,
